feature,LEGIT,A1,A2,B1,B2,B3,C1,C2,C3,D1,D2,E2
geo_is_new,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
is_first_time_payee,0.277,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0
payee_prior_interaction_count,0.277,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0
device_is_new,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transaction_within_mandate_envelope,0.143,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
prior_transaction_count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
