vector,n_test,n_caught,recall
A1,25,25,1.0
A2,15,15,1.0
B1,15,13,0.8666666666666667
B2,15,12,0.8
B3,25,24,0.96
C1,5,5,1.0
C2,5,5,1.0
C3,5,5,1.0
D1,25,25,1.0
D2,25,25,1.0
E2,15,15,1.0
