category,n_test_fraud,precision,recall,f1,roc_auc,pr_auc
A,40,0.8,1.0,0.8888888888888888,1.0,1.0
B,55,0.8305084745762712,0.8909090909090909,0.8596491228070176,0.9973043701359788,0.9144991245062926
C,15,0.6,1.0,0.75,0.9998745688303544,0.9549222999222999
D,50,0.8333333333333334,1.0,0.9090909090909091,0.9998682972718721,0.984439249438412
E,15,0.6,1.0,0.75,0.9999874568830355,0.9958333333333333
