category,n_test_fraud,precision,recall,f1,roc_auc,pr_auc
A,40,1.0,1.0,1.0,1.0,1.0
B,55,1.0,1.0,1.0,1.0,1.0
C,15,1.0,1.0,1.0,1.0,1.0
D,50,1.0,1.0,1.0,1.0,1.0
E,15,1.0,1.0,1.0,1.0,1.0
